rozmiar,czy_hybrydowy,wersja_ls,czy_jedna_iteracja_w_ls,czy_rozroznienie_plci,nr_selekcji,precyzja_ruletki,ilosc_uczestnikow_turnieju,metoda_selekcji_rankingowej,metoda_krzyzowania,jakosc_wyniku
323,False,-1,-1,,1,2,-1,-1,2,0.25782617149523623
323,False,-1,-1,,2,-1,2,-1,0,0.2532951289398281
323,False,-1,-1,,2,-1,2,-1,1,0.2602551521099117
323,False,-1,-1,,2,-1,2,-1,2,0.25944042261788297
323,False,-1,-1,,2,-1,10,-1,0,0.2528604118993135
323,False,-1,-1,,2,-1,10,-1,1,0.2858990944372574
323,False,-1,-1,,2,-1,10,-1,2,0.26658624849215923
323,False,-1,-1,,3,-1,-1,0,0,0.2529568866844716
323,False,-1,-1,,3,-1,-1,0,1,0.28882596384230014
323,False,-1,-1,,3,-1,-1,0,2,0.26967663209273945
323,False,-1,-1,,3,-1,-1,1,0,0.2522831050228311
323,False,-1,-1,,3,-1,-1,1,1,0.2799240025332489
323,False,-1,-1,,3,-1,-1,1,2,0.26842105263157895
