rozmiar,liczba_it,temp,nr_schematu,nr_permutacji,jakosc_wyniku
71,598,598,1,0,0.8875739644970414
71,598,598,1,1,0.9044526901669759
71,598,598,1,2,0.9044526901669759
71,598,598,2,0,0.9044526901669759
71,598,598,2,1,0.9044526901669759
71,598,598,2,2,0.9044526901669759
71,598,5041,0,0,0.9044526901669759
71,598,5041,0,1,0.9044526901669759
71,598,5041,0,2,0.9044526901669759
71,598,5041,1,0,0.9044526901669759
71,598,5041,1,1,0.9044526901669759
71,598,5041,1,2,0.9044526901669759
71,598,5041,2,0,0.9044526901669759
71,598,5041,2,1,0.9044526901669759
71,598,5041,2,2,0.9044526901669759
71,5041,1420,0,0,0.9044526901669759
71,5041,1420,0,1,0.9044526901669759
71,5041,1420,0,2,0.9044526901669759
71,5041,1420,1,0,0.9044526901669759
71,5041,1420,1,1,0.9044526901669759
71,5041,1420,1,2,0.9044526901669759
71,5041,1420,2,0,0.9044526901669759
71,5041,1420,2,1,0.9044526901669759
71,5041,1420,2,2,0.9044526901669759
71,5041,598,0,0,0.9044526901669759
71,5041,598,0,1,0.9044526901669759
71,5041,598,0,2,0.9044526901669759
71,5041,598,1,0,0.9044526901669759
71,5041,598,1,1,0.9044526901669759
71,5041,598,1,2,0.9044526901669759
71,5041,598,2,0,0.9044526901669759
71,5041,598,2,1,0.9044526901669759
71,5041,598,2,2,0.9044526901669759
71,5041,5041,0,0,0.9044526901669759
71,5041,5041,0,1,0.9044526901669759
71,5041,5041,0,2,0.9044526901669759
71,5041,5041,1,0,0.9044526901669759
71,5041,5041,1,1,0.9044526901669759
71,5041,5041,1,2,0.9044526901669759
71,5041,5041,2,0,0.9044526901669759
71,5041,5041,2,1,0.9044526901669759
71,5041,5041,2,2,0.9044526901669759
120,600,2400,0,0,0.17652892561983471
120,600,2400,0,1,0.17652892561983471
120,600,2400,0,2,0.17652892561983471
120,600,2400,1,0,0.6465493154512434
120,600,2400,1,1,0.7719337262315134
120,600,2400,1,2,0.8904566444330426
120,600,2400,2,0,0.8904566444330426
120,600,2400,2,1,0.8904566444330426
120,600,2400,2,2,0.9585749792874897
120,600,1314,0,0,0.9585749792874897
120,600,1314,0,1,0.9585749792874897
120,600,1314,0,2,0.9585749792874897
120,600,1314,1,0,0.9585749792874897
120,600,1314,1,1,0.9585749792874897
120,600,1314,1,2,0.9585749792874897
120,600,1314,2,0,0.9585749792874897
120,600,1314,2,1,0.9585749792874897
120,600,1314,2,2,0.9585749792874897
120,600,14400,0,0,0.9585749792874897
120,600,14400,0,1,0.9585749792874897
120,600,14400,0,2,0.9585749792874897
120,600,14400,1,0,0.9585749792874897
120,600,14400,1,1,0.9585749792874897
120,600,14400,1,2,0.9585749792874897
120,600,14400,2,0,0.9585749792874897
120,600,14400,2,1,0.9585749792874897
120,600,14400,2,2,0.9585749792874897
120,1314,2400,0,0,0.9585749792874897
120,1314,2400,0,1,0.9585749792874897
120,1314,2400,0,2,0.9585749792874897
120,1314,2400,1,0,0.9585749792874897
120,1314,2400,1,1,0.9585749792874897
120,1314,2400,1,2,0.9585749792874897
120,1314,2400,2,0,0.9585749792874897
120,1314,2400,2,1,0.9585749792874897
120,1314,2400,2,2,0.9585749792874897
120,1314,1314,0,0,0.9585749792874897
120,1314,1314,0,1,0.9585749792874897
120,1314,1314,0,2,0.9585749792874897
120,1314,1314,1,0,0.9585749792874897
120,1314,1314,1,1,0.9585749792874897
120,1314,1314,1,2,0.9585749792874897
120,1314,1314,2,0,0.9585749792874897
120,1314,1314,2,1,0.9585749792874897
120,1314,1314,2,2,0.9585749792874897
120,1314,14400,0,0,0.9585749792874897
120,1314,14400,0,1,0.9585749792874897
120,1314,14400,0,2,0.9585749792874897
120,1314,14400,1,0,0.9585749792874897
120,1314,14400,1,1,0.9585749792874897
120,1314,14400,1,2,0.9585749792874897
120,1314,14400,2,0,0.9585749792874897
120,1314,14400,2,1,0.9585749792874897
120,1314,14400,2,2,0.9585749792874897
120,14400,2400,0,0,0.9585749792874897
120,14400,2400,0,1,0.9585749792874897
120,14400,2400,0,2,0.9585749792874897
120,14400,2400,1,0,0.9585749792874897
120,14400,2400,1,1,0.9585749792874897
